            A       B       C       D       E       F       G       H       I       J       K       L       M       N       O       P
  36    7,588   8,168   6,846    -217   3,265   9,980   5,180   9,219   9,738   4,777   8,892     820   2,898   6,689   9,842   1,913
  37    3,743   7,329   5,346     870   1,246   6,203   7,718   6,142   5,087   2,011   2,297   7,242   1,195   9,746   5,310   1,049
  38      -62   5,218   6,427   8,585   8,098   9,091   8,668   1,992   2,458   9,523   8,015   7,705   7,876    -770   2,436   4,477
  39    4,900   7,010   8,715   5,796     201   8,498   1,884     548   6,410   5,647   6,591   3,786   4,927   6,095   2,323    -424
  40    7,558   2,695   3,221   6,490   5,933     808   4,119    -235   8,067   7,915   5,571   9,762   5,126   6,884   2,181     123
  41    7,086   2,213     745   7,485   9,930   7,567   1,389   9,889   7,612   3,327   4,920   9,038   1,883   5,648   4,340   5,284
  42    6,153   7,740   8,291   1,578    -221   1,598   5,297   8,783   7,821   8,546    -430    -524   9,981   4,282   8,941   4,831
  43     -515   3,515   3,560   9,005   3,530   4,553     -97   4,229    -406   1,746   3,602   3,330   7,316   3,605   3,593   8,765
  44    8,170   3,419   2,854   4,551   1,793   6,425   5,023    -417   8,745   1,932   8,888   5,272   2,779   5,944   7,131   3,181
  45    4,081   1,297   3,357   8,924   6,770   9,731   2,429     575   9,325   6,972   5,597   3,185   5,934   5,330    -187   4,637
  46     -914   8,187   1,963   9,466   8,081   2,331   1,296   2,276   4,922   3,436   7,447   6,711   1,690   6,685   8,454      38
  47     -563   3,022   3,052   6,696    -384   8,742     265   1,148    -501   7,571     103   7,851   8,702   9,511    -940   2,529
  48    8,582   7,579   6,686   6,520   7,240    -218   7,181   8,614   3,302   6,353   6,329   5,108   2,197    -276    -907   7,374
