ROW SKU      DESCRIPTION         QTY   UNIT     TOTAL     
054 VFCS4VN  sensor NTC 10k      277   26.48    7,334.96  
055 K7GZPBQ  contactor 32A       374   35.87    13,415.38 
056 ZCFF9K8  copper lug 16mm     270   44.06    11,896.20 
057 KFMKAGH  hex bolt M8         247   19.26    4,757.22  
058 ZWFJRK8  contactor 32A       332   83.59    27,751.88 
059 ESSCXKH  pump seal kit       124   37.54    4,654.96  
060 22J8KEZ  copper lug 16mm     16    86.87    1,389.92  
061 NFXSPTL  hex bolt M8         152   90.55    13,763.60 
062 5U5L3TA  hex bolt M8         43    32.70    1,406.10  
063 PRZPUVC  terminal block 12P  282   14.09    3,973.38  
064 FQN2GYA  cable gland M20     142   5.71     810.82    
065 9A3NNWA  pump seal kit       49    27.26    1,335.74  
066 3ZZKWQM  fuse 6.3A slow      10    37.07    370.70    
067 R7LDFFP  contactor 32A       366   0.61     223.26    
068 QSWDX5T  filter cartridge    153   45.58    6,973.74  
069 3W2AFMW  hex bolt M8         215   40.40    8,686.00  
070 BNUMR65  limit switch        25    40.49    1,012.25  
071 UH6V3GB  hex bolt M8         291   93.52    27,214.32 
072 L97TWE5  pump seal kit       393   88.61    34,823.73 
073 8FKXBH7  gasket ring 40      348   67.16    23,371.68 
074 AH59NZ8  sensor NTC 10k      52    24.95    1,297.40  
075 UWSF88P  valve seat brass    346   80.08    27,707.68 
076 9BSTE8T  bearing 6203ZZ      129   81.19    10,473.51 
077 FZCTREY  limit switch        265   9.71     2,573.15  
078 LDENR7E  copper lug 16mm     255   54.66    13,938.30 
079 K8MNKFQ  o-ring 22x2         159   23.36    3,714.24  
080 VDTDRJW  contactor 32A       20    99.86    1,997.20  
081 F48SV5A  o-ring 22x2         116   64.64    7,498.24  
082 N8ATZGZ  o-ring 22x2         251   93.68    23,513.68 
083 P3YTYBH  fuse 6.3A slow      274   12.40    3,397.60  
084 H7QKL4G  bearing 6203ZZ      85    85.04    7,228.40  
085 WMXD554  gasket ring 40      151   65.67    9,916.17  
086 KE4P7YR  contactor 32A       303   10.49    3,178.47  
087 GDUS3BL  gasket ring 40      126   4.60     579.60    
088 NQ7CAJW  terminal block 12P  221   96.21    21,262.41 
089 BPERPAG  copper lug 16mm     34    15.16    515.44    
090 L9X2ARS  terminal block 12P  350   28.40    9,940.00  
091 U82GWT7  valve seat brass    68    22.68    1,542.24  
092 TC8ZQRY  relay 24V DPDT      136   1.42     193.12    
093 QE9XADU  o-ring 22x2         117   27.02    3,161.34  
094 R5UG3LJ  filter cartridge    362   42.50    15,385.00 
095 5NYUXT3  filter cartridge    201   36.38    7,312.38  
096 NEQJNE2  relay 24V DPDT      36    59.79    2,152.44  
097 UR94KGJ  cable gland M20     191   20.07    3,833.37  
098 5G99XBN  filter cartridge    305   35.11    10,708.55 
099 FZRYCBT  pump seal kit       371   84.87    31,486.77 
100 8PJMU2Q  gasket ring 40      396   45.02    17,827.92 
101 8JRGY4D  relay 24V DPDT      9     50.14    451.26    
102 2SDQWRK  copper lug 16mm     347   50.25    17,436.75 
103 ZV2JLGC  filter cartridge    339   75.46    25,580.94 
104 DGLG8Y4  copper lug 16mm     377   14.40    5,428.80  
105 SSFP2ZE  pump seal kit       158   43.34    6,847.72  
106 ZLETML5  terminal block 12P  171   90.60    15,492.60 
             TOTAL               20672          923,998.51
