file,series,style,font,cell,size_px,cap_height_px,antialiased,degradation,w,h,megapixels,rows,cols,chars,claude_tokens,gpt_tokens,chars_per_claude_token,chars_per_gpt_token,text_tokens_equiv,claude_compression,exceeds_claude_measured_envelope,groundtruth,image_sha256,groundtruth_sha256
A_bitmap_ladder/A11_8x16.png,A_bitmap_ladder,"numbered lines, dense",X11 misc 8x16 bitmap,8x16,,16,False,,896,896,0.803,55,111,5808,1024,941,5.67,6.17,1452,1.42,False,groundtruth/A_bitmap_ladder__A11_8x16.txt,75e053d795cdded17fb07d30d54d1f63dd6195b1b70d79de6f67ca4ab2d46eb0,c97c58de977873aef66d2da98aa76a6c02e92c9a6ff2d95b6ecb6dde11e234b5
A_bitmap_ladder/A12_9x15.png,A_bitmap_ladder,"numbered lines, dense",X11 misc 9x15 bitmap,9x15,,15,False,,896,896,0.803,59,98,5469,1024,941,5.34,5.81,1367,1.34,False,groundtruth/A_bitmap_ladder__A12_9x15.txt,df941d66a87ab902b412a15f83acf71977528c9c9eae1ba8eec1a6510c1d73a8,d9705ed7d9c711839fb243f6f67b03b941db3797154bb80942ff02026542dcb9
A_bitmap_ladder/A13_9x18.png,A_bitmap_ladder,"numbered lines, dense",X11 misc 9x18 bitmap,9x18,,18,False,,896,896,0.803,49,98,4588,1024,941,4.48,4.88,1147,1.12,False,groundtruth/A_bitmap_ladder__A13_9x18.txt,11e7e17bde94683e8066d032c7d9fa3919b3ae494ea1dba0f96f39d86885f024,872a2d163b5abe0639eace87bc23620ba4720d0e398627d5d9706e3b89cef4a2
A_bitmap_ladder/A14_10x20.png,A_bitmap_ladder,"numbered lines, dense",X11 misc 10x20 bitmap,10x20,,20,False,,896,896,0.803,44,88,3622,1024,941,3.54,3.85,906,0.88,False,groundtruth/A_bitmap_ladder__A14_10x20.txt,136d88085a95af1a79cacbf4b2aa75d73749ab02b13eabbeeacc60c0bc972ea8,ceba19fd1a4bc05b013f996d6e2364bf4f63971d2156966d685e6be87d854b84
A_bitmap_ladder/A15_12x24.png,A_bitmap_ladder,"numbered lines, dense",X11 misc 12x24 bitmap,12x24,,24,False,,896,896,0.803,37,74,2548,1024,941,2.49,2.71,637,0.62,False,groundtruth/A_bitmap_ladder__A15_12x24.txt,58d609ef5b20c77c7be6d2aef0f102fd777c97da89532cf56aa619bcac78b82a,bca01f0e2796e48a13e3188a746ca3d7775082fd220914ff7d0d192d820a6fa5
B_mono_ttf_ladder/B01_dejavu_mono_05px.png,B_mono_ttf_ladder,"numbered lines, dense",DejaVu Sans Mono,,5,,True,,896,896,0.803,126,293,36281,1024,941,35.43,38.56,9070,8.86,False,groundtruth/B_mono_ttf_ladder__B01_dejavu_mono_05px.txt,ab85fd0cc289256e65c8c9dc0e4e816b4370536e3d3c4ca90ed4081b51558d57,7d577ffa3340ba5254959bea76e8dd3fe775eeed5652dcb81445dabab8a44672
B_mono_ttf_ladder/B01b_dejavu_mono_06px_noAA.png,B_mono_ttf_ladder,"numbered lines, no anti-aliasing",DejaVu Sans Mono,,6,,False,,896,896,0.803,110,245,26389,1024,941,25.77,28.05,6597,6.44,False,groundtruth/B_mono_ttf_ladder__B01b_dejavu_mono_06px_noAA.txt,608f5f7a17eccc599c3c08ae318224e2c1607cbb90542d7f37a537f446e7a1bb,34b0f1029cb0d566d5666bd7f4fa2614e76c232665b557dd394823292f997c91
B_mono_ttf_ladder/B02_dejavu_mono_06px.png,B_mono_ttf_ladder,"numbered lines, dense",DejaVu Sans Mono,,6,,True,,896,896,0.803,110,245,26389,1024,941,25.77,28.05,6597,6.44,False,groundtruth/B_mono_ttf_ladder__B02_dejavu_mono_06px.txt,60a1f7326f405648a30346fcef68ee5fca58970d05fefbf2248c3dde7413cf7a,e4720d67249de9e0b079389af0218525df25b35ece435947ef7185fb78d938fc
B_mono_ttf_ladder/B02b_dejavu_mono_08px_noAA.png,B_mono_ttf_ladder,"numbered lines, no anti-aliasing",DejaVu Sans Mono,,8,,False,,896,896,0.803,88,184,15749,1024,941,15.38,16.74,3937,3.84,False,groundtruth/B_mono_ttf_ladder__B02b_dejavu_mono_08px_noAA.txt,ef5a7f4303d1e8e0a4133d8e87ca817185c60dd0e888c4326f5145be9eeabf2d,f833194c85589187172054c13ed97866fd3d7304edb71e4b6be2cb231edd4c0f
B_mono_ttf_ladder/B03_dejavu_mono_07px.png,B_mono_ttf_ladder,"numbered lines, dense",DejaVu Sans Mono,,7,,True,,896,896,0.803,98,210,20094,1024,941,19.62,21.36,5024,4.91,False,groundtruth/B_mono_ttf_ladder__B03_dejavu_mono_07px.txt,e547f835bb7af8d46967afe2e3d9071799bda7ab0f438774e716b040ff38b9fb,950c74edf2546aa8783e2df542260da659e5c2d938516ba5ade73159ef61465c
B_mono_ttf_ladder/B03b_dejavu_mono_10px_noAA.png,B_mono_ttf_ladder,"numbered lines, no anti-aliasing",DejaVu Sans Mono,,10,,False,,896,896,0.803,68,147,9681,1024,941,9.45,10.29,2420,2.36,False,groundtruth/B_mono_ttf_ladder__B03b_dejavu_mono_10px_noAA.txt,9f2422cdf41e4c8f9e24b04f586210b6f07329d38b6d3e819dab9761711bb7da,b523ee1fe1db74c7a44e47bc01a2ca278afd62757b17eb044aaf5a8c286c8fc5
B_mono_ttf_ladder/B04_dejavu_mono_08px.png,B_mono_ttf_ladder,"numbered lines, dense",DejaVu Sans Mono,,8,,True,,896,896,0.803,88,184,15705,1024,941,15.34,16.69,3926,3.83,False,groundtruth/B_mono_ttf_ladder__B04_dejavu_mono_08px.txt,7779b2f84e229247bb1b1f52586b06d37fc6c9408b3560ba1712a1b04b392ee4,7fe296dbff7f31942e8f5f205011789ad7ec3f08569745478dda8253c2c0db1a
B_mono_ttf_ladder/B04b_dejavu_mono_12px_noAA.png,B_mono_ttf_ladder,"numbered lines, no anti-aliasing",DejaVu Sans Mono,,12,,False,,896,896,0.803,59,122,6904,1024,941,6.74,7.34,1726,1.69,False,groundtruth/B_mono_ttf_ladder__B04b_dejavu_mono_12px_noAA.txt,4c02323a410cc59d1e5997f31f881038d13024f338435ae3764b2aff83731472,b12c9ee91a246935bcc4d2baac4fe8e34c2b80b756422b1ab3747165d6fdf70d
B_mono_ttf_ladder/B05_dejavu_mono_09px.png,B_mono_ttf_ladder,"numbered lines, dense",DejaVu Sans Mono,,9,,True,,896,896,0.803,73,163,11471,1024,941,11.2,12.19,2868,2.8,False,groundtruth/B_mono_ttf_ladder__B05_dejavu_mono_09px.txt,63d7ee73b44610b5342140622b070bc463a90b42a64f39ebe8288e51abeef25e,0186012811bc82f682d282fc0fc053084b51d5edde38266700f230e5d11b62ee
B_mono_ttf_ladder/B05b_dejavu_mono_16px_noAA.png,B_mono_ttf_ladder,"numbered lines, no anti-aliasing",DejaVu Sans Mono,,16,,False,,896,896,0.803,46,91,3959,1024,941,3.87,4.21,990,0.97,False,groundtruth/B_mono_ttf_ladder__B05b_dejavu_mono_16px_noAA.txt,6dedac54a10b59885bcc0fb065a0d10bef21da0a2af5b88f4c6eaa38f794e967,b09e226510cb68fd8739eaf861795b364cc90badbfac9fde662aa4be5a42f47c
B_mono_ttf_ladder/B06_dejavu_mono_10px.png,B_mono_ttf_ladder,"numbered lines, dense",DejaVu Sans Mono,,10,,True,,896,896,0.803,68,147,9646,1024,941,9.42,10.25,2412,2.35,False,groundtruth/B_mono_ttf_ladder__B06_dejavu_mono_10px.txt,33f2b23e5de62f5a4b3f3c11b979aab91a4c4ae0abd2fd1387492231586d4957,a9fba024513f26f930ca9d912dc7411191123da11da0cecfdca639212b059886
B_mono_ttf_ladder/B07_dejavu_mono_11px.png,B_mono_ttf_ladder,"numbered lines, dense",DejaVu Sans Mono,,11,,True,,896,896,0.803,63,133,8066,1024,941,7.88,8.57,2016,1.97,False,groundtruth/B_mono_ttf_ladder__B07_dejavu_mono_11px.txt,4bc0c2c20261f558b2f92d3ad82fea8732bd5dd1f85fb9c097cfeef5b9011ae4,60d41224137e50d140492aef5ed1522afc7402eaeec8035376c7e1bd17908e19
B_mono_ttf_ladder/B08_dejavu_mono_12px.png,B_mono_ttf_ladder,"numbered lines, dense",DejaVu Sans Mono,,12,,True,,896,896,0.803,59,122,6888,1024,941,6.73,7.32,1722,1.68,False,groundtruth/B_mono_ttf_ladder__B08_dejavu_mono_12px.txt,b9b35c868dc02d0c83ac1d6b698063adc277636632273ccbdfdc4ab7411c3728,02df4ce2fc16627bacfdbeed69b1167474063ee550c726489b10357706d7ce17
B_mono_ttf_ladder/B09_dejavu_mono_14px.png,B_mono_ttf_ladder,"numbered lines, dense",DejaVu Sans Mono,,14,,True,,896,896,0.803,52,105,5172,1024,941,5.05,5.5,1293,1.26,False,groundtruth/B_mono_ttf_ladder__B09_dejavu_mono_14px.txt,f4d2c4dfaa288ce10b38d6119eccfaa5ddf05d812dbd1daaf61c17e9bf03bf59,398c0780ddabf377c20025a25c29660b5e1c0b427c81d17fb81ad189316c4c0d
B_mono_ttf_ladder/B10_dejavu_mono_16px.png,B_mono_ttf_ladder,"numbered lines, dense",DejaVu Sans Mono,,16,,True,,896,896,0.803,46,91,3947,1024,941,3.85,4.2,987,0.96,False,groundtruth/B_mono_ttf_ladder__B10_dejavu_mono_16px.txt,858f0c48860e5dbc3be0d941abb89475f005beff13f1fadbc2624ae24acba5e2,82a851d8cdc8d119fffccc39c4a40eae3621498dc4a66636f4c640943878300a
B_mono_ttf_ladder/B11_dejavu_mono_20px.png,B_mono_ttf_ladder,"numbered lines, dense",DejaVu Sans Mono,,20,,True,,896,896,0.803,36,73,2443,1024,941,2.39,2.6,611,0.6,False,groundtruth/B_mono_ttf_ladder__B11_dejavu_mono_20px.txt,8d3e1ab65e353f19307965189b4f1194f136f1a4434660ecb3cb04aeb97e35ab,13828630bc393aa4c3dbd9529b7dbd3fc54b66b21ed209e3150e138e7da6dd84
B_mono_ttf_ladder/B12_dejavu_mono_24px.png,B_mono_ttf_ladder,"numbered lines, dense",DejaVu Sans Mono,,24,,True,,896,896,0.803,30,61,1686,1024,941,1.65,1.79,422,0.41,False,groundtruth/B_mono_ttf_ladder__B12_dejavu_mono_24px.txt,cbf2b8cf50d87e7e4bf2dfa4c372a5b6ebf9a9917745ac6bdb9caadce21b3a8a,781b8348e963a1e22e6155a6d0cf8932a0f3bf9c811ac455bc72298ad4baf4ed
B_mono_ttf_ladder/B13_dejavu_mono_32px.png,B_mono_ttf_ladder,"numbered lines, dense",DejaVu Sans Mono,,32,,True,,896,896,0.803,23,45,942,1024,941,0.92,1.0,236,0.23,False,groundtruth/B_mono_ttf_ladder__B13_dejavu_mono_32px.txt,b95df428b9fa5b9a0a2675fedc1072bcd3f45fc0432a9713581175e7fc525f24,d342045521657ffa728a130cb6875cb276092daaf7ba15852b710a7303702c3f
C_prose_proportional/C01_dejavu_sans_05px.png,C_prose_proportional,"wrapped prose, proportional",DejaVu Sans,,5,,True,,896,896,0.803,110,,37854,1024,941,36.97,40.24,9464,9.24,False,groundtruth/C_prose_proportional__C01_dejavu_sans_05px.txt,bc9c01f2514722a2526273c4b94412c0a1e9ef56040d7302b7c72423d4ad22b3,a2c321a778e0b3fdcd017818a58fc9cc657e9cc3e5d316bf5c652a5dbfd99fdb
C_prose_proportional/C02_dejavu_sans_06px.png,C_prose_proportional,"wrapped prose, proportional",DejaVu Sans,,6,,True,,896,896,0.803,98,,27954,1024,941,27.3,29.71,6988,6.82,False,groundtruth/C_prose_proportional__C02_dejavu_sans_06px.txt,70825c2adf42e2a915a5a618794513e3724670ddfcbebf80ed428c5f6277d7a4,74bfb9e0061718ec400d809447df79e8eac2e13f240aa718f273fa1ae61e4302
C_prose_proportional/C03_dejavu_sans_07px.png,C_prose_proportional,"wrapped prose, proportional",DejaVu Sans,,7,,True,,896,896,0.803,87,,21203,1024,941,20.71,22.54,5301,5.18,False,groundtruth/C_prose_proportional__C03_dejavu_sans_07px.txt,114023a9c1759451ae3a66463aec52e6c99521df8fe7b480957de30d05af4ebd,8c5c482445cbd804b92ecba075458b9b43c2f0821af28cf59fba7b6e1eb89f30
C_prose_proportional/C04_dejavu_sans_08px.png,C_prose_proportional,"wrapped prose, proportional",DejaVu Sans,,8,,True,,896,896,0.803,79,,16900,1024,941,16.5,17.96,4225,4.13,False,groundtruth/C_prose_proportional__C04_dejavu_sans_08px.txt,702cc5c042dfea28af8214c67f9964209ce187fe9498954ba075a82fde4e3258,68dea260ae45fd796246c3cf0a86b4f04b9e23ef04ea103b913eda7761370813
C_prose_proportional/C05_dejavu_sans_09px.png,C_prose_proportional,"wrapped prose, proportional",DejaVu Sans,,9,,True,,896,896,0.803,67,,12597,1024,941,12.3,13.39,3149,3.08,False,groundtruth/C_prose_proportional__C05_dejavu_sans_09px.txt,baf8dc96d04723b92e6a2f1e8877936114e69c8dfa42608ad7e40702e3e4c593,cd88269ebf8292fdc5f2baa76cd4d40be078220af83d85768cd9e89b55ea8b3b
C_prose_proportional/C06_dejavu_sans_10px.png,C_prose_proportional,"wrapped prose, proportional",DejaVu Sans,,10,,True,,896,896,0.803,62,,10467,1024,941,10.22,11.13,2617,2.56,False,groundtruth/C_prose_proportional__C06_dejavu_sans_10px.txt,d020981b9bdf6dd39a964e8c0a73e7b4ee042aff0902db89d61b6245c447f00b,08c70501fb975a4a73ad3a30c8da8a54adc76072860c89da82d65a3a2d0c80a0
C_prose_proportional/C07_dejavu_sans_12px.png,C_prose_proportional,"wrapped prose, proportional",DejaVu Sans,,12,,True,,896,896,0.803,55,,7660,1024,941,7.48,8.14,1915,1.87,False,groundtruth/C_prose_proportional__C07_dejavu_sans_12px.txt,97dff77a18e5922896e5af3368da4251109e4ce6389af3e5753fd5fb71eeed11,0e31e78f51302694bac524121e16508562ff4755182fd2f850b6b68b3fad2e2a
C_prose_proportional/C08_dejavu_sans_14px.png,C_prose_proportional,"wrapped prose, proportional",DejaVu Sans,,14,,True,,896,896,0.803,50,,5881,1024,941,5.74,6.25,1470,1.44,False,groundtruth/C_prose_proportional__C08_dejavu_sans_14px.txt,178d018c2b8621baab1814838afe5e2b74905ba622a822e9d8d0e8b62350c43c,a36e27a42b9bdbe407624187250a865fdd6a123eedc06b6c9e2f72c469d53628
C_prose_proportional/C09_dejavu_sans_16px.png,C_prose_proportional,"wrapped prose, proportional",DejaVu Sans,,16,,True,,896,896,0.803,45,,4729,1024,941,4.62,5.03,1182,1.15,False,groundtruth/C_prose_proportional__C09_dejavu_sans_16px.txt,491a94037d91a1f3a72782eb5c7647778338344c935ace99c55c2d75c3db30f7,45af2de7c5d1a485cd1043f4ed4a421020121433bd296061b089bcfb2d3acc4a
C_prose_proportional/C10_dejavu_sans_20px.png,C_prose_proportional,"wrapped prose, proportional",DejaVu Sans,,20,,True,,896,896,0.803,36,,2993,1024,941,2.92,3.18,748,0.73,False,groundtruth/C_prose_proportional__C10_dejavu_sans_20px.txt,a772a74e401efcdeac553c8a6130809de81c653070e175edc49daa2c595e3ae6,bb353ea77e92169d6be64bd6d6065d6260afa5e1934962f532814b114a81140c
C_prose_proportional/C11_dejavu_sans_24px.png,C_prose_proportional,"wrapped prose, proportional",DejaVu Sans,,24,,True,,896,896,0.803,30,,2038,1024,941,1.99,2.17,510,0.5,False,groundtruth/C_prose_proportional__C11_dejavu_sans_24px.txt,15387519568dd4ae9e296bbdd185bb793cc914e71bdad7192bb755fe4b4a5ce7,99e6549deb2409b61bca672ad935d6ff02c1ff54f8c348cdb98d53e310abbb59
D_eyecharts/D1_bitmap_eyechart.png,D_eyecharts,"one line per bitmap size, ascending",X11 misc 4x6..12x24,,,,False,,896,896,0.803,15,,943,1024,941,0.92,1.0,236,0.23,False,groundtruth/D_eyecharts__D1_bitmap_eyechart.txt,f0319a9fe8372412e374c78fa29252825b59e5ece84e23c11060e38ddb5e5756,d3523ac84618944875ab0ce867b5123882abe1cc28060b58b185a7309253c566
D_eyecharts/D2_truetype_eyechart.png,D_eyecharts,"one line per px size, ascending",DejaVu Sans Mono 5..32px,,,,True,,896,896,0.803,13,,814,1024,941,0.79,0.87,204,0.2,False,groundtruth/D_eyecharts__D2_truetype_eyechart.txt,9e385fb49564ef477ed8b54795fd0b541e6a078b982b79d05c89e07a8c88bd7d,713b2f7d7d9c6c3a061d43a1dd6f1c05a5296e2f872fa718850de1b968ad096e
D_eyecharts/D3_descending_fullwidth.png,D_eyecharts,"full-width line per size, descending",X11 misc 12x24..4x6,,,,False,,896,896,0.803,15,,1907,1024,941,1.86,2.03,477,0.47,False,groundtruth/D_eyecharts__D3_descending_fullwidth.txt,e1bb376f311b3960addae11d9a6d99a46543a220db4c9446d0659259a7d3b7cd,d14754d6d6d61c2360b657fd7ac5de2f6d232987ab80cf590f3df5c7a7425032
E_degradations/10px/E_10px_00_baseline.png,E_degradations,00_baseline on 10px numbered lines,DejaVuSansMono@10px,,,,True,00_baseline,896,896,0.803,68,,9632,1024,941,9.41,10.24,2408,2.35,False,groundtruth/E_degradations__10px__E_10px_00_baseline.txt,39f93645d32c312d267572814100dbfbae8c591504d0376a8ff409f008c46ec7,3ee2ff072edebd3182742a3bc90a76272ef5638e1f3f1417dc15aee6c0ce768f
E_degradations/10px/E_10px_01_gray60.png,E_degradations,01_gray60 on 10px numbered lines,DejaVuSansMono@10px,,,,True,01_gray60,896,896,0.803,68,,9632,1024,941,9.41,10.24,2408,2.35,False,groundtruth/E_degradations__10px__E_10px_01_gray60.txt,63fcb4557014b83afa22914a911c2d7ee00499a4fbbd9f62dae81ec12540d640,3ee2ff072edebd3182742a3bc90a76272ef5638e1f3f1417dc15aee6c0ce768f
E_degradations/10px/E_10px_02_gray30_faint.png,E_degradations,02_gray30_faint on 10px numbered lines,DejaVuSansMono@10px,,,,True,02_gray30_faint,896,896,0.803,68,,9632,1024,941,9.41,10.24,2408,2.35,False,groundtruth/E_degradations__10px__E_10px_02_gray30_faint.txt,95ed5280675eda0a742812c4706b94a0b8312bac29b3df6bce06f6b503614d44,3ee2ff072edebd3182742a3bc90a76272ef5638e1f3f1417dc15aee6c0ce768f
E_degradations/10px/E_10px_03_inverted.png,E_degradations,03_inverted on 10px numbered lines,DejaVuSansMono@10px,,,,True,03_inverted,896,896,0.803,68,,9632,1024,941,9.41,10.24,2408,2.35,False,groundtruth/E_degradations__10px__E_10px_03_inverted.txt,829131555949ab8822918e87500109409338eeaa179569313607f1989fb6a915,3ee2ff072edebd3182742a3bc90a76272ef5638e1f3f1417dc15aee6c0ce768f
E_degradations/10px/E_10px_04_blue_on_cream.png,E_degradations,04_blue_on_cream on 10px numbered lines,DejaVuSansMono@10px,,,,True,04_blue_on_cream,896,896,0.803,68,,9632,1024,941,9.41,10.24,2408,2.35,False,groundtruth/E_degradations__10px__E_10px_04_blue_on_cream.txt,c482e1776ba2877ac9a57b7b8ea24b78ab08403804c0264b718aefb89ff433e3,3ee2ff072edebd3182742a3bc90a76272ef5638e1f3f1417dc15aee6c0ce768f
E_degradations/10px/E_10px_05_red_on_green.png,E_degradations,05_red_on_green on 10px numbered lines,DejaVuSansMono@10px,,,,True,05_red_on_green,896,896,0.803,68,,9632,1024,941,9.41,10.24,2408,2.35,False,groundtruth/E_degradations__10px__E_10px_05_red_on_green.txt,503be45dceba642c854588a32ce0fd971545a48733d65c276116c47d2e33c576,3ee2ff072edebd3182742a3bc90a76272ef5638e1f3f1417dc15aee6c0ce768f
E_degradations/10px/E_10px_06_blur.png,E_degradations,06_blur on 10px numbered lines,DejaVuSansMono@10px,,,,True,06_blur,896,896,0.803,68,,9632,1024,941,9.41,10.24,2408,2.35,False,groundtruth/E_degradations__10px__E_10px_06_blur.txt,fe03233488d1a1f696d676a021502d14ab5123b200a3ae2837c24506c8f5653f,3ee2ff072edebd3182742a3bc90a76272ef5638e1f3f1417dc15aee6c0ce768f
E_degradations/10px/E_10px_07_noise.png,E_degradations,07_noise on 10px numbered lines,DejaVuSansMono@10px,,,,True,07_noise,896,896,0.803,68,,9632,1024,941,9.41,10.24,2408,2.35,False,groundtruth/E_degradations__10px__E_10px_07_noise.txt,bab8299cb7f659f8eb8e524e096ab974c82c2b935d927e487a0c1c6385e3bd67,3ee2ff072edebd3182742a3bc90a76272ef5638e1f3f1417dc15aee6c0ce768f
E_degradations/10px/E_10px_08_rotate1_5deg.png,E_degradations,08_rotate1_5deg on 10px numbered lines,DejaVuSansMono@10px,,,,True,08_rotate1_5deg,896,896,0.803,68,,9632,1024,941,9.41,10.24,2408,2.35,False,groundtruth/E_degradations__10px__E_10px_08_rotate1_5deg.txt,a5a7560f6957dddf28f43bf0880fb647be52e510cc561b3a87a0b3d730882cae,3ee2ff072edebd3182742a3bc90a76272ef5638e1f3f1417dc15aee6c0ce768f
E_degradations/10px/E_10px_09_downup_50pct.png,E_degradations,09_downup_50pct on 10px numbered lines,DejaVuSansMono@10px,,,,True,09_downup_50pct,896,896,0.803,68,,9632,1024,941,9.41,10.24,2408,2.35,False,groundtruth/E_degradations__10px__E_10px_09_downup_50pct.txt,2a92d9a56ef1920e66f01aa503d4267b29b75bdbd1ade922197b78878a974e2d,3ee2ff072edebd3182742a3bc90a76272ef5638e1f3f1417dc15aee6c0ce768f
E_degradations/10px/E_10px_10_lowres_75pct.png,E_degradations,10_lowres_75pct on 10px numbered lines,DejaVuSansMono@10px,,,,True,10_lowres_75pct,672,672,0.452,68,,9632,576,529,16.72,18.2,2408,4.18,False,groundtruth/E_degradations__10px__E_10px_10_lowres_75pct.txt,a760565115e12f7e4036b9bbe5b554d05e014eeb2db91d03a13e1aa691f3e025,3ee2ff072edebd3182742a3bc90a76272ef5638e1f3f1417dc15aee6c0ce768f
E_degradations/10px/E_10px_11_jpeg30.jpg,E_degradations,JPEG q=30,DejaVuSansMono@10px,,,,True,jpeg30,896,896,0.803,68,,9632,1024,941,9.41,10.24,2408,2.35,False,groundtruth/E_degradations__10px__E_10px_11_jpeg30.txt,48c556e103658f324d40b40312bf73bb5d618b2bb7cbfc00052028fa18c48e94,3ee2ff072edebd3182742a3bc90a76272ef5638e1f3f1417dc15aee6c0ce768f
E_degradations/10px/E_10px_11_jpeg60.jpg,E_degradations,JPEG q=60,DejaVuSansMono@10px,,,,True,jpeg60,896,896,0.803,68,,9632,1024,941,9.41,10.24,2408,2.35,False,groundtruth/E_degradations__10px__E_10px_11_jpeg60.txt,5f3e213915529362b4a3d61a9cfec8f2343fd6500feb54eb0978d3d6cd2da709,3ee2ff072edebd3182742a3bc90a76272ef5638e1f3f1417dc15aee6c0ce768f
E_degradations/6x10/E_6x10_00_baseline.png,E_degradations,00_baseline on 6x10 numbered lines,6x10,,,,False,00_baseline,896,896,0.803,88,,12610,1024,941,12.31,13.4,3152,3.08,False,groundtruth/E_degradations__6x10__E_6x10_00_baseline.txt,20bde8ccc3056a4867167e729af515137553763da47d7284c9329df44141daea,06491910c1f9ca073a356c7cdd302fc4be40eb112365452d6421288b04b22c88
